Node,Occupancy,Room Name
0,1397,VESTIBULE
29,18,PREFUNCTION
40,17,STUDENT SEATING
1,15,AUDITORIUM
53,14,EAST ATRIUM
394,13,EAST ATRIUM
34,13,CLASSROOM
17,12,ELEVATOR
28,11,STUDENT COLLABORATION
6,11,MECHANICAL
209,10,EAST ATRIUM
54,10,WEST STEPS
303,10,STAIR
70,10,ELEVATOR
26,9,STAIR
9,9,BUILDING LOBBY
43,8,STAIR
239,8,ELEVATOR
402,8,ELEVATOR
66,7,DF / TRASH+RE
8,7,MACH RM
12,7,VESTIBULE
180,7,STAIR 02
20,6,MDF
10,5,ELEVATOR
18,5,CORRIDOR
179,5,ELEVATOR
11,5,VESTIBULE
44,5,ELEVATOR
165,3,CHAIR OFFICE
302,3,ELEVATOR
211,2,COLLAB
599,2,STAIR 02
48,2,TOILET
509,2,EAST ATRIUM
433,2,PUBLIC CORR
210,1,ADMIN CORR.
594,1,PUBLIC CORR.
579,1,PATIENT UNIT CORRIDOR
81,1,COMPUTER CLASSROOM
464,1,ELECT
611,1,EAST ATRIUM
410,1,STORAGE
593,1,STAIR 03
621,1,ELEVATOR
373,1,STAIR 03
134,1,TOILET
348,1,ADMIN CORR.
27,1,STAIR
99,1,CLASSROOM
374,1,PUBLIC CORR.
375,1,COLLAB
568,1,ELEVATOR
252,1,CLASSROOM
499,1,CONF(12)
441,1,ELEVATOR
62,1,CAFE SERVERY
304,1,STAIR
